"ï..Camr_Nm","Lat","Long","d.Road","EdgeDens","PatchDens","DisjCore"
"Copal EC13-14",9.7826,-83.7554,0.031850353,23.62,1,2.01
"Copal EC301-302",9.7804,-83.7546,0.031138802,4.42,1,1
"Marta LM1-2",9.7685,-83.6823,0.038141235,0,1,1
"Marta LM3",9.7651,-83.6791,0.042351739,0,1,1
"Marta LM4-5",9.7861,-83.6915,0.018976749,28.86,1,1
"Marta LM6-7",9.7679,-83.6834,0.038423912,0,1,1
"Savegre Valley 1",9.5516,-83.7976,0.042667024,2.06,1,1
"Savegre Valley 2",9.5515,-83.7928,0.039584453,11.5,1,1
"Savegre Valley 3",9.5486,-83.7915,0.040425331,16.61,0.98,0.98
"Savegre Valley 4",9.5502,-83.791,0.039016168,18.87,1,1
"Savegre Valley 5R",9.5516,-83.7976,0.042667024,2.06,1,1
"Savegre Valley 6",9.5453,-83.7956,0.04568757,1.77,1,1
"Savegre Valley 7",9.5412,-83.7977,0.049929122,30.05,1,2.01
"Savegre Valley 8",9.5465,-83.8001,0.048185111,0,1,1
"Savegre Valley 10",9.5514,-83.7927,0.039567599,12.08,1,2.01
"Savegre Valley 11",9.5453,-83.7956,0.04568757,1.77,1,1
"Savegre Valley 16",9.5502,-83.791,0.039016168,18.87,1,1
"Savegre Valley 18",9.5514,-83.7927,0.039567599,12.08,1,2.01
"Savegre Valley 19",9.5413,-83.7977,0.049864408,30.05,1,2.01
"Savegre Valley Camp2",9.5512,-83.791,0.038375344,18.27,1,1
"Savegre Valley Camp3",9.5505,-83.7995,0.044745736,2.36,1,1
"Savegre Valley Camp4",9.5675,-83.7942,0.029443826,6.3,0.98,0.98
"Savegre Valley Catar15",9.539,-83.8181,0.065994885,7.07,1,1
"Savegre Valley Catar32",9.5392,-83.8181,0.065858826,8.3,0.98,0.98
"Savegre Valley Chanchos28",9.6019,-83.8212,0.014221032,4.42,1,1
"Savegre Valley Chanchos29",9.5904,-83.8171,0.025451287,2.87,0.98,0.98
"Savegre Valley Chanchos30",9.5781,-83.8145,0.034669872,19.17,1,1
"Savegre Valley Chanchos31",9.5807,-83.817,0.034504174,18.05,0.98,0.98
"Savegre Valley Chanchos33",9.5996,-83.8197,0.016335091,4.58,0.98,0.98
"Savegre Valley Danta4",9.5538,-83.8075,0.048288931,61.69,5.03,3.02
"Savegre Valley Dantica14",9.5847,-83.8011,0.021580032,31.23,1,1
"Savegre Valley Dantica15",9.5858,-83.7933,0.017802295,31.25,1,2.01
"Savegre Valley Dantica28",9.5864,-83.8011,0.02011044,40.06,0.98,0.98
"Savegre Valley Dantica29",9.5855,-83.802,0.021349515,34.46,1,2.01
"Savegre Valley Finca3",9.5512,-83.8074,0.04987812,70.19,4.02,3.01
"Savegre Valley Finca17",9.5517,-83.8072,0.049399584,67.53,2.01,4.02
"Savegre Valley Finca20",9.5517,-83.8072,0.049399584,67.53,2.01,4.02
"Savegre Valley Finca22",9.5521,-83.8167,0.056708984,65.44,2.01,4.02
"Savegre Valley Lagos23",9.5577,-83.7811,0.026609879,16.99,1.03,1.03
"Savegre Valley Lagos24",9.5589,-83.7883,0.031152735,10.6,1,1
"Savegre Valley Lagos25",9.5631,-83.7968,0.034129209,25.36,2.01,1
"Savegre Valley Sarah",9.5391,-83.8184,0.06614701,7.29,1.03,1.03
"Savegre Valley Torres21",9.5541,-83.7767,0.025851019,11.79,1,1
"Savegre Valley Torres22",9.5534,-83.7788,0.027784154,8.59,0.98,0.98
"Savegre Valley Vueltas26",9.6145,-83.8564,0.020098142,63.36,2.01,4.02
"Savegre Valley Vueltas27",9.6193,-83.8545,0.015942509,81.37,2.01,6.03
"Savegre Valley West2",9.5537,-83.8083,0.048978086,67.9,2.93,4.88
"Savegre Valley West3",9.554,-83.8084,0.048872353,66.06,4.02,4.02
"Savegre Valley West4",9.5536,-83.8085,0.049197164,69.05,2.93,4.88
"Savegre Valley West23",9.5536,-83.8085,0.049197164,69.05,2.93,4.88
"Tapanti T1-2",9.729,-83.7763,0.046196533,1.77,1.01,1.01
"Tapanti T03-04",9.7175,-83.781,0.05369035,4.12,1,1
"Tapanti T5-6",9.7068,-83.7793,0.064167871,29.76,1,1
"Tapanti T07-08",9.6954,-83.7821,0.073025878,30.36,1,1
"Tapanti T7-8",9.6954,-83.7821,0.073025878,30.36,1,1
"Tapanti T9-10",9.6963,-83.7714,0.076961014,13.27,1,1
"Tapanti T13-14",9.7082,-83.7917,0.057359097,3.72,0.98,0.98
"Tapanti T15-16",9.6872,-83.8686,0.01705788,1.77,1,1
"Tapanti T17-18",9.6994,-83.8625,0.027894969,15.33,1,1
"Tapanti T19-20",9.712,-83.8577,0.040443755,7.07,1,1
"Tapanti T21-22",9.6958,-83.8583,0.024237601,22.92,0.98,0.98
"Tapanti T23-24",9.6582,-83.8315,0.019037502,4.72,1,1
"Tapanti T105",9.681,-83.8011,0.053715417,32.41,2.01,1
"Tapanti T106",9.6856,-83.795,0.060990884,16.92,0.98,0.98
"Tapanti T107",9.6867,-83.7908,0.065313934,19.48,0.98,0.98
